id,count,chinese,sentence,chapter,keyword,idx
intro-1,2,常规框架：遛狗没做好。重构框架：让狗狗尽情嗅闻就是成功。,Usual Frame: Taking the dog for a walk and failing. Reframe: Taking the dog for a sniff and succeeding.,Introduction Reframes,遛狗,1
intro-2,13,常规框架：我无事可做，只是站着。重构框架：正好练习呼吸和姿势。,Usual Frame: I have nothing to do. I am just standing here. Reframe: Perfect time to practice proper breathing and posture.,Introduction Reframes,无所事事,2
intro-3,4,常规框架：排队是在浪费时间。重构框架：我有时间好好呼吸。,"Usual Frame: I am waiting in line, which is a waste of time. Reframe: I have time to breathe properly.",Introduction Reframes,排队,3
intro-4,2,常规框架：酒是饮料。重构框架：酒是毒药。,Usual Frame: Alcohol is a beverage. Reframe: Alcohol is poison.,Introduction Reframes,饮酒,4
mental-1,4,常规框架：我是我的内心想法。重构框架：我是我的行为。,Usual Frame: I am my inner thoughts. Reframe: I am what I do.,Mental Health Reframes,内心想法,48
mental-10,22,常规框架：侮辱会损伤我的心理健康。重构框架：侮辱其实是对方不能反驳你的观点或有自身问题的自白。,Usual Frame: An insult is damaging to my mental health. Reframe: An insult is a confession that your accuser can't refute your opinion and/or has personal problems of some sort.,Mental Health Reframes,侮辱,57
mental-12,4,常规框架：细菌会伤害我。重构框架：细菌让我更强壮。,Usual Frame: Germs will harm me. Reframe: Germs make me stronger.,Mental Health Reframes,细菌,59
mental-13,19,常规框架：寒冷意味着痛苦和危险。重构框架：寒冷让我更健康、强壮。,Usual Frame: Coldness is pain and a signal I am in danger. Reframe: Coldness makes me healthier and stronger.,Mental Health Reframes,寒冷,60
mental-14,3,常规框架：死亡是悲剧，我得难过。重构框架：去世的人再无烦恼，怎么变成了我的痛苦？,"Usual Frame: Death is a tragedy, and I need to feel bad about it. Reframe: The deceased has no more problems. How did I make this about me?",Mental Health Reframes,死亡的意义,61
mental-15,3,常规框架：死亡是悲剧。重构框架：能陪伴他人走完人生是一种荣誉。,Usual Frame: Death is a tragedy. Reframe: It is an honor to help another pass.,Mental Health Reframes,死亡的看法,62
mental-16,3,常规框架：我的感受是境遇造成的。重构框架：我的感受由我选择。,Usual Frame: My feelings are the result of my situation. Reframe: How I feel is my choice.,Mental Health Reframes,情感与处境,63
mental-17,3,常规框架：我恨罪有应得的人。重构框架：仇恨只是用来惩罚自己的工具。,Usual Frame: I hate someone who deserves it. Reframe: Hate is nothing but punishing myself for the misdeeds of others.,Mental Health Reframes,仇恨,64
mental-18,3,常规框架：愤恨和愤怒是有毒的，希望它能自消。重构框架：仇恨和愤怒是一种可被利用的重要能量。,Usual Frame: Hate and anger are toxic feelings you hope will wear off. Reframe: Hate and anger are a superpower level of energy you can use for gain.,Mental Health Reframes,怨恨和愤怒,65
mental-2,4,常规框架：寻找自我。重构框架：创造自我。,Usual Frame: Find yourself. Reframe: Author yourself.,Mental Health Reframes,认识自我,49
mental-20,24,常规框架：自我是你本人，必须被保护。重构框架：自我是你的敌人。,"Usual Frame: Your ego is 'you,' and it must be protected. Reframe: Your ego is your enemy.",Mental Health Reframes,自我（ego）,67
mental-21,18,常规框架：要避免尴尬。重构框架：主动迎接尴尬，用它斩杀你的自我。,Usual Frame: Avoid embarrassment. Reframe: Invite embarrassment and use it as a club to kill your ego.,Mental Health Reframes,避免尴尬,68
mental-22,17,常规框架：我是无价之宝，需被保护。重构框架：我就是一颗土豆，随时能被替换。,Usual Frame: I am a priceless work of art that must be protected. Reframe: I am a potato that is easily replaced.,Mental Health Reframes,自我形象,69
mental-23,6,常规框架：我担心出事。重构框架：我好奇会发生什么。,Usual Frame: I worry something will go wrong. Reframe: I'm curious what will happen.,Mental Health Reframes,担忧未来,70
mental-25,19,常规框架：历史很重要。重构框架：历史不存在。,Usual Frame: History is important. Reframe: History doesn't exist.,Mental Health Reframes,历史重要性,72
