sentence,id_in_all
"Usual Frame: Some people are good, and some are not. Reframe: We're all flawed, and we're all good at different things.","mental-3"
"Usual Frame: Manage your time. Reframe: Manage your energy.","success-4"
"Usual Frame: People treat you poorly, and you can't do much about it. Reframe: You cause people to act the way they do.","social-20"
"Usual Frame: Alcohol is a beverage. Reframe: Alcohol is poison.","intro-4"
"Usual Frame: I'm talking to you, teen, and this is between us. Reframe: I must answer to your future self, not your current self.","social-19"
"Usual Frame: The universe is acting against me. Reframe: The universe owes me.","success-28"
"Usual Frame: Things should be fair. (me) Reframe: Life isn't fair. (Mom)","success-31"
"Usual Frame: Sugar is delicious but don't overdo it. Reframe: Sugar is poison.","physical-6"
"Usual Frame: I fail at 90 percent of the things I try. Reframe: I only need to succeed 10 percent of the time.","success-2"
"Usual Frame: The boss is in charge. Reframe: The most capable people are in charge.","social-23"
"Usual Frame: Why did I survive when others did not? Reframe: It's no different from a clock reading 2:00 PM exactly once a day. It is just cause and effect. It has no meaning.","mental-41"
"Usual Frame: Taking the dog for a walk and failing. Reframe: Taking the dog for a sniff and succeeding.","intro-1"
"Usual Frame: Death is a tragedy. Reframe: It is an honor to help another pass.","mental-15"
"Usual Frame: Is this a good decision? Reframe: Can we test it small?","mental-38"
"Usual Frame: The usual patterns hold (non-humor). Reframe: The usual patterns are violated (humor).","social-11"
"Usual Frame: I worry something will go wrong. Reframe: I'm curious what will happen.","mental-23"
"Usual Frame: Nuclear Power is risky. Reframe: Nuclear power is green.","reality-1"
"Usual Frame: I have lost my soulmate. Reframe: I have a million soulmates I have not yet met.","social-16"
"Usual Frame: I have writer's block. Reframe 2: I'm trying to write at the wrong time of day.","success-42"
"Usual Frame: Some art is good, and some is bad. Reframe: If there is a market for the art, it is good art.","success-39"
"Usual Frame: I am anxious. Reframe: I am living in the future (but not in a good way).","mental-55"
"Usual Frame: Success depends on who you know. Reframe: Success depends on how many people you know.","success-18"
"Usual Frame: Compete against yourself and try to improve over time. Reframe: Compete against others even if the others are unaware of the competition.","success-25"
"Usual Frame: Another problem! Why me??? Reframe: Ooh, a new puzzle to solve.","success-12"
"Usual frame: You did this wrong. Reframe: Your other work is stronger.","success-26"
"Usual Frame: You are the center of your universe and the highest priority. Reframe: Viewed from space, everything looks small, including your problems.","mental-29"
"Usual Frame: My mind is in my brain. Reframe: My mind includes my brain, body, and physical environment. Any change to one changes the others.","mental-61"
"Usual Frame: It takes money to make money. Reframe: I can turn energy into money.","success-15"
"Usual Frame: Passion is the key to success. Reframe: Passion is nice but not required.","success-14"
"Usual Frame: I can't get to sleep. Reframe: I didn't work hard enough.","physical-12"
"Usual Frame: You could have done more. Reframe: Everyone can do more. It is a meaningless concept.","mental-46"
"Usual Frame: Fairness is a desirable social goal. Reframe: Fairness is the enemy of success.","success-32"
"Usual Frame: Learn what you need. Reframe: Learn continuously, especially skills that work well together.","success-21"
"Usual Frame: Luck is random and can't be managed. Reframe: You can go where there is more luck (more energy).","success-29"
"Usual Frame: Ugh, I hate this repetitive chore. Reframe: I can do this chore so gracefully and efficiently it feels like a game.","success-13"
"Usual Frame: Death is a tragedy, and I need to feel bad about it. Reframe: The deceased has no more problems. How did I make this about me?","mental-14"
"Usual Frame: Judge people by their mistakes. Reframe: Judge people by how they respond to their mistakes.","social-27"
"Usual Frame: I can't handle this for the rest of my life. Reframe: I can do anything for a day.","mental-52"
"Usual Frame: I am angry because something happened. Reframe: I am living in the past.","mental-54"
"Usual Frame: Confidence is something you're born with. Reframe: Confidence is something you learn.","mental-33"
"Usual Frame: My feelings are the result of my situation. Reframe: How I feel is my choice.","mental-16"
"Usual Frame: My stomach has room for more food. Reframe: I've had enough.","physical-8"
"Usual Frame: I want to do (something). Reframe: I have decided to do (something).","success-3"
"Usual Frame: I can discern people's motives by their actions. Reframe: Mind-reading isn't real. Humans are terrible at discerning motives.","social-25"
"Usual Frame: Why me? Reframe: God needs you here for something important.","mental-43"
"Usual Frame: I am tempted by bad carbs. Reframe: I'm not the kind of person who eats bad carbs.","physical-7"
"Usual Frame: I want my relationship to last forever. Reframe: Nothing lasts forever.","social-14"
"Usual Frame: I feel a responsibility to hold this guilt. Reframe: You have my permission to release your guilt.","mental-44"
"Usual Frame: Find yourself. Reframe: Author yourself.","mental-2"
"Usual Frame: I hate someone who deserves it. Reframe: Hate is nothing but punishing myself for the misdeeds of others.","mental-17"
"Usual Frame: Hate and anger are toxic feelings you hope will wear off. Reframe: Hate and anger are a superpower level of energy you can use for gain.","mental-18"
"Usual Frame: You feel like a fraud. Everyone else is competent. Reframe: You are learning fast. Look at all you learned!","success-35"
"Usual Frame: Germs will harm me. Reframe: Germs make me stronger.","mental-12"
"Usual Frame: I am my inner thoughts. Reframe: I am what I do.","mental-1"
"Usual Frame: Criticism feels like a dagger to your heart. Reframe: Criticism is a chemical reaction in the skull of someone who isn't in the room.","mental-6"
"Usual Frame: Your critics are evil monsters. Reframe: Your critics are your mascots.","mental-5"
"Usual Frame: I am waiting in line, which is a waste of time. Reframe: I have time to breathe properly.","intro-3"
"Usual Frame: I feel bad that I was the lone survivor. Reframe: What would the dead want you to do - suffer or be happy?","mental-45"
