sentence,id_in_old
"Usual Frame: People judge me, so I feel bad when I mess up. Reframe: People only care about themselves. They don't care what dumb thing I did recently even if they mention it.","re-me-14"
"Usual Frame: I'm hungry, so I need food. Reframe: I'm hungry so I need protein.","re-health-4"
"Usual Frame: You should spread your genes. Reframe: No matter what you do your genes will be diluted with each generation until your contribution nears zero.","re-30"
"Usual Frame: An insult is damaging to my mental health. Reframe: An insult is a confession that your accuser can't refute your opinion or has personal problems of some sort.","re-me-4"
"You need to love to lose.","re-s-15"
"but that they did not know what they were laughing about and why they had stopped thinking.","re-s-17"
"Greatness starts with the replacement of hatred with polite disdain.","re-s-18"
"For in the end he was trying to tell us that what afflicted the people in Brave New World was not that they were laughing instead of thinking","re-s-16"
"True humility is when you can surprise yourself more than others; the rest is either shyness or good marketing.","re-s-19"
"Unless we manipulate our surroundings we have as little control over what and whom we think about as we do over the muscles of our hearts.","random-fool-1"
"Women represent the triumph of matter over mind just as men represent the triumph of mind over morals.","Wilde-1"
"Your brain is most intelligent when you don't instruct it on what to do - something people who take showers discover on occasion.","re-introducing-2"
