id,sentence,keyword,cloud_count,old_count
mental-9,Usual Frame: Social media is a form of entertainment. Reframe: Social media is an addiction.,社交媒体,5,19
success-34,Usual Frame: I need to come up with a good idea. Reframe: I need to release all my bad ideas as quickly as possible.,灵感,4,25
success-10,Usual Frame: Success requires setting goals. Reframe: Systems are better than goals.,目标与系统,5,28
success-7,Usual Frame: Embarrassment is something to be avoided. Reframe: Embarrassment is an investment.,尴尬,4,26
physical-5,Usual Frame: I have a weight loss goal. Reframe: I need to create a weight loss system for myself.,减肥目标,4,4
intro-2,Usual Frame: I have nothing to do. I am just standing here. Reframe: Perfect time to practice proper breathing and posture.,无所事事,4,9
reality-11,Usual Frame: Others think and feel approximately as I do. Reframe: Others are unimaginably different.,人性差异,5,15
mental-25,Usual Frame: History is important. Reframe: History doesn't exist.,历史重要性,5,14
success-1,Usual Frame: My odds of success are low. Reframe: Maybe I am bad at estimating the odds.,成功概率,5,22
success-9,Usual Frame: The effort is so big and daunting I can't even start. Reframe: What's the smallest thing I can do that moves me in the right direction?,行动,5,21
success-37,Usual Frame: Your mood is determined by your internal thoughts. Reframe: You can improve your mood by completing meaningful tasks.,情绪调节,4,26
mental-53,Usual Frame: I am a victim of my past traumas. Reframe: History is imaginary.,创伤与历史,3,15
physical-2,Usual Frame: Overeating is a willpower problem. Reframe: Overeating is a knowledge problem.,暴饮暴食,5,4
mental-21,Usual Frame: Avoid embarrassment. Reframe: Invite embarrassment and use it as a club to kill your ego.,避免尴尬,3,15
social-8,Usual Frame: I need to go find someone to be my romantic partner. Reframe: I need to signal my genetic advantages to attract a romantic partner.,寻找伴侣,3,9
mental-47,Usual Frame: Avoid addiction. Reframe: Choose your addictions wisely.,上瘾,3,16
os-1,Usual Frame: You are the product of your experiences and genes. Reframe: You are the author of your experience.,自我塑造,4,9
success-6,Usual Frame: I am bored with life. Reframe: I am not embarrassing myself enough.,无聊,4,28
social-22,Usual Frame: The experts are in charge. Reframe: The best communicator is in charge.,权威,3,12
mental-57,Usual Frame: My trauma crippled me. Reframe: My trauma is why I can kick your ass.,创伤与力量,3,4
mental-31,Usual Frame: I'm afraid to do the thing I know I should do. Reframe: Life is short.,害怕行动,5,13
reality-7,Usual Frame: Life is about avoiding pain while pursuing happiness and meaning. Reframe: Life is an adventure.,人生意义,3,13
physical-10,Usual Frame: Exercising requires willpower and motivation. Reframe: Exercising is easier than not exercising if you turn it into a habit.,锻炼习惯,4,11
physical-11,Usual Frame: It's important to learn the best ways to exercise. Reframe: The best exercises are the ones you are willing to do.,健身方式,4,14
social-29,Usual Frame: Small acts of kindness are good. Reframe: There are no small acts of kindness.,小善举,3,15
social-2,Usual Frame: Learn to love yourself as you are. Reframe: Be glad your brain is pestering you to improve.,爱自己,3,9
social-7,Usual Frame: No one seems to find me attractive. Reframe: I haven't met enough people.,吸引力,3,11
mental-8,Usual Frame: Everyone is thinking about me. Reframe: You are only a bit player in their movie.,自我中心,7,15
mental-28,Usual Frame: I am in pain. Reframe: I am in pain for a minute.,疼痛,3,10
mental-10,Usual Frame: An insult is damaging to my mental health. Reframe: An insult is a confession that your accuser can't refute your opinion and/or has personal problems of some sort.,侮辱,3,4
mental-49,Usual Frame: Some people have no willpower. They are weak. Reframe: Some people get more pleasure from certain vices than you do.,意志力,3,7
mental-50,Usual Frame: There are good days and bad. Reframe: All days are useful in different ways.,好坏日子,5,4
success-36,Usual Frame: I feel like an impostor at my job. Reframe: Everyone is an impostor.,职场冒充,4,25
success-11,Usual Frame: Focus on being excellent at a skill that has commercial value. Reframe: Acquire skills that work well together and make you rare and flexible at the same time.,技能组合,4,19
success-30,Usual Frame: I am unusually unlucky this happened to me. Reframe: Everyone has problems. No exceptions.,不幸感,4,25
mental-30,Usual Frame: You need to stop thinking negative thoughts. Reframe: You can't subtract negative thoughts. But you can crowd them out.,消极念头,3,20
mental-36,Usual Frame: No one wants to talk to me. I'm boring. Reframe: Everyone enjoys talking to people who show interest in them.,无聊,3,11
mental-58,Usual Frame: Live in the now. Reframe: Imagine even your smallest actions influencing your future.,活在当下,3,4
mental-60,Usual Frame: Happiness comes from within. Reframe: Use the external world to program your brain for happiness.,幸福来源,3,4
mental-22,Usual Frame: I am a priceless work of art that must be protected. Reframe: I am a potato that is easily replaced.,自我形象,4,13
mental-13,Usual Frame: Coldness is pain and a signal I am in danger. Reframe: Coldness makes me healthier and stronger.,寒冷,3,16
mental-27,Usual Frame: My stress and anxiety are caused by events in my life. Reframe: I won't care about any of those events on my deathbed.,压力和焦虑,4,16
mental-56,Usual Frame: You are the result of your traumas. Reframe: You are a random bundle of loose wires.,创伤定义,3,13
