sentence,id_in_all,id_in_old
"Usual Frame: Social media is a form of entertainment. Reframe: Social media is an addiction.","mental-9","re-me-3"
"Usual Frame: I need to come up with a good idea. Reframe: I need to release all my bad ideas as quickly as possible.","success-34","re-s-8"
"Usual Frame: Whatever managers do is managing. Reframe: If you are not measuring, you are not managing.","success-38","re-s-11"
"Usual Frame: Success requires setting goals. Reframe: Systems are better than goals.","success-10","re-s-5"
"Usual Frame: Embarrassment is something to be avoided. Reframe: Embarrassment is an investment.","success-7","re-s-3"
"Usual Frame: When I am hungry, I eat food. Reframe: Some food is fuel. Some food is entertainment.","physical-1","re-health-1"
"Usual Frame: I have a weight loss goal. Reframe: I need to create a weight loss system for myself.","physical-5","re-27"
"Usual Frame: Most people are normal, but I'm a basket case. Reframe: Everyone is a basket case once you get to know them.","social-26","re-social-6"
"Usual Frame: I have nothing to do. I am just standing here. Reframe: Perfect time to practice proper breathing and posture.","intro-2","re-introducing-1"
"Usual Frame: I can't think of anything good to write. Reframe 3: I can write something bad and fix it.","success-43","re-s-14"
"Usual Frame: Others think and feel approximately as I do. Reframe: Others are unimaginably different.","reality-11","re-reality-5"
"Usual Frame: History is important. Reframe: History doesn't exist.","mental-25","re-me-9"
"Usual Frame: My odds of success are low. Reframe: Maybe I am bad at estimating the odds.","success-1","re-s-1"
"Usual Frame: The effort is so big and daunting I can't even start. Reframe: What's the smallest thing I can do that moves me in the right direction?","success-9","re-s-4"
"Usual Frame: Your mood is determined by your internal thoughts. Reframe: You can improve your mood by completing meaningful tasks.","success-37","re-s-10"
"Usual Frame: I am a victim of my past traumas. Reframe: History is imaginary.","mental-53","re-me-18"
"Usual Frame: Overeating is a willpower problem. Reframe: Overeating is a knowledge problem. Willpower isn't real.","physical-2","re-health-2"
"Usual Frame: Art is entertainment. Reframe: Art is a powerful, mind-altering drug.","mental-4","re-me-1"
"Usual Frame: Measure twice, cut once. Reframe: Just start. See if you can figure it out as you go.","success-23","re-4"
"Usual Frame: Avoid embarrassment. Reframe: Invite embarrassment and use it as a club to kill your ego.","mental-21","re-me-7"
"Usual Frame: I need to go find someone to be my romantic partner. Reframe: I need to signal my genetic advantages to attract a romantic partner.","social-8","re-social-4"
"Usual Frame: Avoid addiction. Reframe: Choose your addictions wisely.","mental-47","re-me-17"
"Usual Frame: You are the product of your experiences and genes. Reframe: You are the author of your experience.","os-1","re-reality-6"
"Usual Frame: I am bored with life. Reframe: I am not embarrassing myself enough.","success-6","re-s-2"
"Usual Frame: The experts are in charge. Reframe: The best communicator is in charge.","social-22","re-social-5"
"Usual Frame: One of us is right, and one is wrong. Reframe: We are watching two different movies on one screen.","reality-3","re-reality-2"
"Usual Frame: Giving compliments is awkward, creepy, or manipulative. Reframe: Withholding a compliment is almost immoral.","social-6","re-social-2"
"Usual Frame: I can't think of anything to write. Reframe 1: I'm in the wrong environment for writing.","success-41","re-s-13"
"Usual Frame: Your ego is 'you,' and it must be protected. Reframe: Your ego is your enemy.","mental-20","re-me-6"
"Usual Frame: My trauma crippled me. Reframe: My trauma is why I can kick your ass.","mental-57","re-20"
"Usual Frame: I'm afraid to do the thing I know I should do. Reframe: Life is short.","mental-31","re-me-13"
"Usual Frame: People are rational 90 percent of the time. Reframe: People are rational 10 percent of the time.","reality-2","re-reality-1"
"Usual Frame: Life is about avoiding pain while pursuing happiness and meaning. Reframe: Life is an adventure.","reality-7","re-reality-3"
"Usual Frame: People come up with their own opinions. Reframe: People join teams, and the media assigns their opinions.","reality-10","re-reality-4"
